,Reporting_Entity,Facility_Name,State,Electricity_Production_GJ,Electricity_Production_MWh,Primary_Fuel,Year,Lat,Lng,Renewable
302,NEOEN AUSTRALIA PTY LTD,DUBBO SOLAR HUB PTY LTD,NSW,17821,4950,Solar,2017-2018,-32.2443908,148.614418,True
303,NEOEN AUSTRALIA PTY LTD,GRIFFITH SOLAR FARM PTY LTD,NSW,59368,16491,Solar,2017-2018,-34.3174144,146.1207389,True
304,NEOEN AUSTRALIA PTY LTD,HORNSDALE POWER RESERVE PTY LTD,SA,79298,22027,Battery,2017-2018,-33.085897,138.5183516,False
308,NEOEN AUSTRALIA PTY LTD,PARKES SOLAR FARM PTY LTD,NSW,109528,30424,Solar,2017-2018,-33.11293089999999,148.0763972,True
310,NEWGEN KWINANA HOLDINGS PTY LTD,Kwinana Gas Fired Power Station,WA,7466829,2074119,Gas,2017-2018,-32.2320792,115.7787256,False
312,NRG VICTORIA 1 PTY LTD,Gladstone Power Station,QLD,32309449,8974847,Black Coal,2017-2018,-23.8487488,151.2183353,False
314,ONSLOW ELECTRIC POWER PTY LTD,Onslow Power Station,WA,52031,14453,Gas,2017-2018,-27.6728168,121.6283098,False
316,ORIGIN ENERGY LIMITED,Australand,NSW,2132,592,Gas,2017-2018,-31.2532183,146.921099,False
317,ORIGIN ENERGY LIMITED,Ballarat Solar Park,VIC,1446,402,Solar,2017-2018,-37.5621587,143.8502556,True
318,ORIGIN ENERGY LIMITED,Bendigo Solar Park,VIC,1727,480,Solar,2017-2018,-36.75961960000001,144.2785764,True
319,ORIGIN ENERGY LIMITED,Blackmores,NSW,5027,1396,Gas,2017-2018,-31.2532183,146.921099,False
320,ORIGIN ENERGY LIMITED,Bond,NSW,3465,963,Gas,2017-2018,-31.2532183,146.921099,False
321,ORIGIN ENERGY LIMITED,Chifley Square,NSW,3808,1058,Gas,2017-2018,-33.8659402,151.2110977,False
322,ORIGIN ENERGY LIMITED,Dandenong,VIC,851,236,Gas,2017-2018,-37.9847811,145.2139907,False
323,ORIGIN ENERGY LIMITED,Darling Downs Power Station,QLD,8083131,2245314,Gas,2017-2018,-27.1164455,150.8954925,False
325,ORIGIN ENERGY LIMITED,Eraring Power Station,NSW,61870118,17186144,Black Coal,2017-2018,-33.0619324,151.5197469,False
326,ORIGIN ENERGY LIMITED,Exhibition Street,VIC,8693,2415,Gas,2017-2018,-37.8116895,144.9704421,False
327,ORIGIN ENERGY LIMITED,Kent Street,NSW,13175,3660,Gas,2017-2018,-33.8666677,151.2043583,False
329,ORIGIN ENERGY LIMITED,Ladbroke Grove Power Station,SA,659904,183307,Gas,2017-2018,-37.4567985,140.7829834,False
330,ORIGIN ENERGY LIMITED,Mirvac,NSW,17254,4793,Gas,2017-2018,-31.2532183,146.921099,False
331,ORIGIN ENERGY LIMITED,Mortlake Power Station,VIC,4603899,1278861,Gas,2017-2018,-38.063061,142.6679099,False
332,ORIGIN ENERGY LIMITED,Mount,NSW,7304,2029,Gas,2017-2018,-31.2532183,146.921099,False
333,ORIGIN ENERGY LIMITED,Mt Stuart Power Station,QLD,35050,9736,Kerosene,2017-2018,-19.3379375,146.8513486,False
334,ORIGIN ENERGY LIMITED,Quarantine Power Station,SA,686982,190828,Gas,2017-2018,-34.7801742,138.5221099,False
335,ORIGIN ENERGY LIMITED,Roma Power Station,QLD,113872,31631,Gas,2017-2018,-26.5710799,148.7856852,False
336,ORIGIN ENERGY LIMITED,Shoalhaven Scheme,NSW,357536,99316,Hydro,2017-2018,-35.0810677,150.4892292,True
337,ORIGIN ENERGY LIMITED,Stockland Headquarters,NSW,5280,1467,Gas,2017-2018,-31.2532183,146.921099,False
338,ORIGIN ENERGY LIMITED,University of NSW,NSW,8434,2343,Gas,2017-2018,-33.917347,151.2312675,False
339,ORIGIN ENERGY LIMITED,Uranquinty Power Station,NSW,2002061,556128,Gas,2017-2018,-35.1793949,147.2149902,False
341,OZGEN HOLDINGS AUSTRALIA PTY LTD,Callide C Power Station (facility),QLD,21023694,5839915,Black Coal,2017-2018,-24.2927187,150.4933758,False
342,OZGEN HOLDINGS AUSTRALIA PTY LTD,Millmerran Power Station (facility),QLD,25420974,7061382,Black Coal,2017-2018,-27.9619619,151.2790597,False
